Genes	N.Sequences	N.Proteotypic.Sequences	raw1/T064137_AurEl8_PM8_DIAIMP_CMB-1719_helalis_1_RD2_1_11076.d	raw1/T064139_AurEl8_PM8_DIAIMP_CMB-1719_helalis_2_RD3_1_11078.d
KRT6A;KRT6C	8	0	104985	7012.96
KRT71;KRT73	1	0	102944	
KRT8	1	1	20235.7	17293.3
KRT80;Krt80	1	0	678155	17043.8
KRT9	49	49	894204	8444.34
KRTCAP2	1	1	28486.5	
Krt77	2	2	39630.9	
L3MBTL2	2	2	30724.9	28266.3
LACRT	4	4	92219.8	
LAMA5	4	4		79766.2
LAMB3	1	1		16066.7
LAMC1	2	2	81995.3	214289
LANCL1	1	1		14420.8
LAP3	1	1		11827.2
LARP1	1	1		7197.92
LARS2	1	1	29964.5	9190.6
LCN1	7	3	54259.2	
LCP1	2	1	52897.4	29310.3
LDAH	1	1		14962.9
LDHB	1	1		11565.2
LEMD3	1	1		38990.4
LENG8	1	1		26552.4
LGALS1	2	2		26924.2
LGB	1	1	56487.8	
LIMCH1	1	1		90472.1
LIN7C	2	2	311415	197790
LINC02875	1	1		4737.79
LIX1L	1	1		109763
LMAN2	1	1		27431.5
LMNA	1	1	80274.9	62164.8
LMNB1	1	1	28485.3	27365.2
